repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
gpertea/stringtie,C++,0.744681,1,0,0.196542,2.750000,1.750000,1,28660,0.000000,26,0,1,1,1
draupnergraphics/touchgfx-open-repository,C++,1.000000,3,0,0.332309,22.000000,1.200000,0,1928,0.000000,15,0,1,1,1
bioidiap/bob.learn.em,C++,0.972973,2,1,0.229982,46.000000,1.000000,1,20018,0.000000,0,1,1,1,1
lab-of-the-future/future_engine,C++,0.641221,1,0,0.033360,68.000000,5.000000,0,13126,0.001375,1,0,1,1,1
onenorth/onibot,C++,0.000000,3,0,0.042184,3.250000,1.000000,1,417,0.000000,0,1,1,1,1
VerySleepy/verysleepy,C++,0.909091,1,0,0.165813,7.421053,0.526316,1,11011,0.065915,181,1,1,1,1
MultiSight/vakit,C++,1.000000,2,0,0.076135,8.666667,0.666667,1,1893,0.103588,0,1,1,1,1
CandyDevices/device_motorola_shamu,C++,0.779661,3,0,0.218573,0.833333,0.083333,1,108375,0.065225,0,1,1,1,1
macaw-movies/macaw-movies,C++,0.970588,1,0,0.229941,29.000000,7.500000,1,5735,0.000000,22,0,1,1,1
ia-toki/tcframe,C++,0.909091,1,1,0.055405,68.000000,28.000000,1,3147,0.462720,22,1,1,1,1
AMDmi3/libbinbuf,C++,0.833333,1,1,0.304186,3.000000,1.000000,1,814,0.456716,0,1,1,1,1
ethz-asl/kindr_ros,C++,1.000000,2,0,0.176387,3.000000,1.000000,1,1740,0.000000,0,1,1,1,1
LuminanceHDR/LuminanceHDR,C++,0.917379,5,1,0.088376,25.458332,0.041667,1,145748,0.093877,119,1,1,1,1
DaikiMaekawa/quadrotor_navigation,C++,0.333333,1,0,0.534507,177.000000,36.000000,1,666,0.000000,5,0,1,1,1
oscar-broman/SKY,C++,0.705202,1,0,0.466164,25.000000,3.000000,1,16148,0.048909,19,1,1,1,1
jgeudens/GraphViewer,C++,1.000000,1,0,0.117910,22.000000,11.000000,1,59097,0.000000,1,0,1,1,1
solusipse/web-to-webm,C++,1.000000,1,1,0.019917,66.000000,4.000000,1,2039,0.000000,25,1,1,1,1
